序号,实词,释义与经典例句
137,绝境,与世人隔绝的地方 率妻子邑人来此绝境，不复出焉，遂与外人间隔 《桃花源记》；绝境逢生 《成语》
138,其实,它的果实 叶徒相似，其实味不同 《橘逾淮为枳》；其实不然 《日常用语》
139,阡陌,田间小路 阡陌交通，鸡犬相闻 《桃花源记》；阡陌纵横 《成语》
140,亲戚,亲属。亲，指族内；戚，指族外 寡助之至，亲戚畔之 《天时不如地利》；亲戚朋友 《日常用语》
141,驱驰,奔走效劳 由是感激，遂许先帝以驱驰 《出师表》；驱驰疆场 《成语》
142,问津,问路，探访，访求 后遂无问津者 《桃花源记》；无人问津 《成语》
143,无论,不要说，更不必说 乃不知有汉，无论魏晋 《桃花源记》；其他祖父积、子孙弃者无论焉 《黄生借书说》
144,牺牲,指猪、牛、羊等祭品 牺牲玉帛，弗敢加也，必以信 《曹刿论战》；牺牲精神 《日常用语》
145,鸿儒,学问渊博的读书人 谈笑有鸿儒，往来无白丁 《陋室铭》；鸿儒硕学 《成语》
146,白丁,平民，此指无学问的人 谈笑有鸿儒，往来无白丁 《陋室铭》；目不识丁 《成语》
147,入,①进入，与 “出” 相对 乃入吴寻二陆 《周处》；虎见之，庞然大物也，以为神，蔽林间窥之 《黔之驴》；故五月渡泸，深入不毛 《出师表》；余始循以入，道少半，越中岭，复循西谷，遂至其巅 《登泰山记》；乃入据陈 《陈涉世家》②跳入 周处年少时，凶强侠气，为乡里所患；又义兴水中有蛟，山中有白额虎，并皆暴犯百姓。义兴人谓为三横，而处尤剧。或说处杀虎斩蛟，实冀三横唯余其一。处即刺杀虎，又入水击蛟。蛟或浮或没，行数十里，处与之俱。经三日三夜，乡里皆谓已死，更相庆。竟杀蛟而出，闻里人相庆，始知为人情所患，有自改意 《周处》③注入 以钱覆其口，徐以杓酌油沥之，自钱孔入，而钱不湿 《卖油翁》④进宫廷 曹刿请见 《曹刿论战》；于是入朝见威王 《邹忌讽齐王纳谏》⑤射进 月色入户，欣然起行 《记承天夜游》⑥缴纳 募有能捕之者，当其租入 《捕蛇者说》
148,善,①好，好的，善良的 若有作奸犯科及为忠善者，宜付有司论其刑赏 《出师表》；择其善者而从之，其不善者而改之 《论语》②友好，亲善 有韩仔玉者，无与乙善 《果合传》；楚左尹项伯者，项羽季父也，素善留侯张良 《鸿门宴》③擅长，善于 王视晏子曰：“齐人固善盗乎？” 《橘逾淮为枳》；陈康肃公尧咨善射，当世无双 《卖油翁》；弈秋，通国之善弈者也 《孔孟论学》；京中有善口技者 《口技（林嗣环）》④应答之词，好 王曰：“善。” 《邹忌讽齐王纳谏》；先主曰：“善！” 于是与亮情好日密 《隆中对》
149,少,①数量少，不多 义不杀少而杀众，不可谓知类 《公输》；饮少辄醉，而年又最高 《醉翁亭记》；山多石，少土 《登泰山记》；少杂树，多松，生石罅，皆平顶 《登泰山记》②一会儿，不多时 少顷，但闻屏障中抚尺一下，满坐寂然，无敢哗者 《口技（林嗣环）》；少时，一狼径去，其一犬坐于前 《狼》③缺少，不足 但少闲人如吾两人者耳 《记承天夜游》；遥知兄弟登高处，遍插茱萸少一人 《九月九日忆山东兄弟》④年轻，年少 周处年少时，凶强侠气，为乡里所患 《周处》；而少时之岁月为可惜也 《黄生借书说》；陈涉少时，尝与人佣耕 《陈涉世家》；吾闻二世少子也，不当立 《陈涉世家》⑤稍微，略微 宾客意少舒，稍稍正坐 《口技（林嗣环）》；少焉，月出于东山之上，徘徊于斗牛之间 《赤壁赋》
150,舍,①房屋，住宅 土地平旷，屋舍俨然，有良田、美池、桑竹之属 《桃花源记》；客舍青青柳色新 《送元二使安西》②舍弃，放下 便舍船，从口入 《桃花源记》；舍鱼而取熊掌者也 《鱼我所欲也》；锲而不舍，金石可镂 《劝学》③同 “赦”，赦免 舍其罪，言其功 《左传》；万钟则不辩礼义而受之，万钟于我何加焉！ 《鱼我所欲也》
